Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Short Description,Logo,Address - street,Address - suburb,Address - state,Region reference,Website,Latitude,Longitude,Employer email address,Employer email,Employer Banner Image
100 Mile Table,100-mile-table,57d54200d7efa08538bb14a6,58c9fa3ada2104ea4ec4094d,Thu Mar 16 2017 02:36:42 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:47 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<h2>100 Mile Table</h2><h5>Cafe, Catering &amp; Events in Byron Bay</h5><p>Come and visit our cafe at 8 Banksia Drive, Byron Bay Arts
and Industrial Park. Monday to Friday, 7am-2pm.</p><p>Serving Marvell Street coffee, breakfast and lunch as well
as a selection of our retail products.</p><p>100 Mile Table was born to create unique feasts and
celebrations utilising the abundance of great local produce in whichever region
of Australia we are cooking in. We have fast become known as one of the best
event and wedding caterers in Byron Bay.</p><p>From the city to the bush, we will hunt out the very best
the local area has to offer. We celebrate our love of food and provenance by
sharing our knowledge and our table with you.</p><p>100 Mile Table lunches are held at regular intervals
anywhere from the extraordinary Bangalow Guesthouse to a paddock, a barn or a
private home.</p><p>We can create a feast to suit you and your celebration – an
intimate cocktail or dinner party, Farm Table feasts or the luxury of a
personalised hamper.</p><p>We can also help with your personal chefs needs, and enjoy
taking the odd cooking class.</p><h3>100 Mile Philosophy</h3><p>“At 100 Mile Table, we practice a ‘locavore’ philosophy –
one of respect for the source.”</p><p>Shopping locally maintains relationships with farmers and
food producers – those who make it, bake it, sow it and grow it. We acknowledge
the importance of food miles, the health, wellbeing and good treatment of
animals and crops, so we shop and cook accordingly.</p>","From the city to the bush, we will hunt out the very best the local area has to offer. We celebrate our love of food and provenance by sharing our knowledge and our table with you.",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9fa0bda2104ea4ec40943_Screen%20Shot%202017-03-16%20at%201.34.53%20pm.png,"Unit 4 / 8 Banksia Drive,","Byron Bay, ",New South Wales,new-south-wales-north-coast,http://100miletable.com/,-28.636348,153.586636,food@100miletable.com,food@100miletable.com,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9fa1af503cec962100cc1_Screen%20Shot%202017-03-16%20at%201.32.07%20pm.png
A Tavola,a-tavola,57d54200d7efa08538bb14a6,58d89562ae54b79224655c5c,Mon Mar 27 2017 04:30:26 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:49 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<h3>&nbsp;About A Tavola</h3><p>The inspiration for A Tavola (meaning “to the table”)
derives from head chef and owner Eugenio Maiale’s childhood. As a child Maiale
would play in the backyard of his Adelaide home waiting to hear the chime of “A
Tavola” when dinner was ready.</p><p>On Maiale’s family kitchen table were consistently simple,
honest and traditional style dishes. It was a daily ritual, almost a
meditation, for his Mother to maker her own pasta – from ravioli and tortellini
to tagliolini. She passed her knowledge onto Eugenio who further developed
these techniques during his childhood visits to Italy. He would watch his
relatives make an assortment of pastas, including pappardelle and gnocchi,
rolling the pasta on big wooden tables either by hand or with broom handles.</p><p>Maiale has continued this concept of simple and elegant food
with his first Sydney restaurant. The cuisine can be described as predominantly
“Abruzzese” (a region north-east of the boot, next to Rome), with a heavy
emphasis on dried and fresh pasta cooked to order. His dream was to create a
unique Italian experience. He has done this by creating what has been described
as a “euro chic” dining space which revolves around a 10metre long communal
Indian marble table.</p><h3>Join the A Tavola family.</h3><p>We are always looking for dedicated people to join our
international team at A Tavola. Please note that all applicants must be
eligible to work in Australia. Please write your application and resume in
English.</p><p>Please submit your applications to Eugenio Maiale –
employment@atavola.com.au</p>",Regional Italian dishes and housemade pasta served in a stylish space with a long communal table.,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58d894fdae54b79224655c57_Screen%20Shot%202017-03-27%20at%203.27.59%20pm.png,348 Victoria Street ,Darlinghurst 2010,New South Wales,sydney,http://atavola.com.au/darlinghurst/,-33.877824,151.221788,employment@atavola.com.au,employment@atavola.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58d89525ae54b79224655c5b_Screen%20Shot%202017-03-27%20at%203.28.27%20pm.png
Africola,africola,57d54200d7efa08538bb14a6,58c3a2a1f0d0c79e7c7ad05b,Sat Mar 11 2017 07:09:21 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:47 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<p>AFRICAN
RESTAURANT LOCATED ON EAST TERRACE, ADELAIDE. COMPACT, SIMPLE SHOP WITH A
WESTERN SOUNDTRACK, FOR AFRICAN-INSPIRED VEGETABLES, GRILLED AND SMOKED MEATS,
FLATBREADS, PICKLES AND NATURAL WINE. BLOWING UP LIKE BUBBLEGUM. AFRICOLA
LIVING. WE BUY GOLD. WE SMOKE THEN BASTE OUR FOODS IN THEIR OWN JUICES. OUR
MENU CHANGES REGULARLY TO REFLECT SEASONALITY.</p>","Africola is an African restaurant located in the heart of Adelaide, offering grilled and smoked meats, sensational flatbreads and natural wines. ",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c3a2240b882b2d6cc686a2_Screen%20Shot%202017-03-11%20at%206.06.54%20pm.png,4 East Terrace,Adelaide 5000,South Australia,adelaide,http://www.africola.com.au/,-34.921358,138.610549,info@africola.com.au,info@africola.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c3a25ca45bd75f7c11eb35_Screen%20Shot%202017-03-11%20at%206.01.21%20pm.png
Alice Springs Resort,alice-springs-resort,57d54200d7efa08538bb14a6,58c630430b882b2d6cc691ce,Mon Mar 13 2017 05:38:11 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:40 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<h5>Classic
Comforts, Heartfelt Quality</h5><p>Situated on
the banks of the famous Todd River, Chifley Alice Springs Resort offers
spectacular views of the towering River Red Gum, while the well-manicured lush
green lawns of the Resort create a relaxing atmosphere as you soak in the
Australian Outback charm of the Northern Territory (NT).</p><p>Centrally
located just a few minutes’ walk away from the city’s thriving shopping, dining
and entertainment venues, this award-winning Resort provides comfort with
friendly service, the perfect base for travelers looking to hike the Larapinta
Trail, to visit the Telegraph Station, Alice Springs Desert Park, School of the
Air, Anzac Hill or take a day tour to Simpsons Gap or Rainbow Valley.</p><p>Alice
Springs lies in the physical and spiritual heart of Australia’s Red Centre. It
is surrounded on all sides by the jagged MacDonnell Ranges, which according to
the traditional owners, the Arrernte people, was formed during the Dreamtime by
giant caterpillars.</p><p>Australia’s
classic outback drive, the Red Centre Way, from Uluru, Kings Canyon and Alice
Springs, is one of the best ways to experience the natural wonders of this vast
ancient red landscape.</p><p>With a
focus on comfort, Chifley Alice Springs Resort offers a sophisticated “Outback”
feel, true to the location, creating an unparalleled experience for our guests
when they “Choose Chifley”.</p>","Centrally located just a few minutes’ walk away from the city’s thriving shopping, dining and entertainment venues, this award-winning Resort provides comfort with friendly service, the perfect base for travelers!",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c62f6bc2dc5b4d6cff1003_Screen%20Shot%202017-03-13%20at%204.33.34%20pm.png,34 Stott Terrace,Alice Springs 0870,Northern Territory,alice-springs-and-surrounds,https://www.snhotels.com/chifley/alice-springs/,-23.702952,133.886503,reservations.alicesprings@chifleyhotels.com,reservations.alicesprings@chifleyhotels.com,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c62fa5a45bd75f7c11f6e3_Screen%20Shot%202017-03-13%20at%204.35.09%20pm.png
Amanda's,amandas,57d54200d7efa08538bb14a6,58c9c420cee124c6356ee6d6,Wed Mar 15 2017 22:45:52 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:49 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<h4>Amanda's Restaurant</h4><p>With magnificent views from every table, our charming
restaurant is located on the hill of Windsor’s Edge Vineyard. Here you can
relax and enjoy flavourful tastes while looking over the picturesque vines and
surrounding country land.</p><p>Dine alfresco in the warmer months where you can nestle in
the gardens or relax by sunset on the verandah, or get cosy by the fire in
winter. Amanda’s has the vista in every season!</p>",A family owned and operated restaurant and function space in the heart of the Hunter Valley.,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9c36f5a2a865b36a6f58b_Screen%20Shot%202017-03-16%20at%209.41.53%20am.png,"1039 McDonalds Road,","Pokolbin, 2320",New South Wales,hunter-valley,http://www.amandas.com.au/,-32.722118,151.318962,dine@amandas.com.au,dine@amandas.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58be2516b58f6e606c2e494d_TheStables_01.jpg
Bannisters Hotel,bannisters-hotel,57d54200d7efa08538bb14a6,58c9f55567dc2a084fe1e0c6,Thu Mar 16 2017 02:15:49 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:48 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<p>Our two boutique hotels offer luxurious coastal accommodation, lots of dining and bar options including Rick Stein at Bannisters restaurant, poolside relaxation at each hotel and a day spa for pampering treatments. Just 800 metres&nbsp;apart, our courtesy vehicles run between both hotels so facilities can be enjoyed by all our guests.&nbsp;</p><p>Fun and relaxed dining at its best with a well-crafted menu
combining a fusion of Australian and Mediterranean influences is what you'll find at the Rooftop Bar and Grill. Our laid back
vibe and killer cocktails, craft beers and a good wine selection makes the
Rooftop a great dining choice near the iconic Mollymook Beach. If it's a food experience you're after, then Bannister's also houses Rick Stein at Bannisters, a seafood restaurant like no other!</p><p>‍</p><p>‍</p>","The Northern Rivers premiere location for weddings, functions and events. Also housing Rick Stein's remarkable seafood restaurant Rick Stein at Bannisters.",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9f54567dc2a084fe1e0c5_Screen%20Shot%202017-03-16%20at%201.15.06%20pm.png,191 Mitchell Parade,Mollymook 2539 ,New South Wales,new-south-wales-north-coast,http://www.bannisters.com.au/,-35.322345,150.484919,info@bannisters.com.au,info@bannisters.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9f52bf503cec962100cac_Screen%20Shot%202017-03-16%20at%201.14.45%20pm.png
Barossa Valley Brewing,barossa-valley-brewing,57d54200d7efa08538bb14a6,58c4aecdf0d0c79e7c7ad50c,Sun Mar 12 2017 02:13:33 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:43 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<p>Barossa
Valley Brewing </p><p>We source
the best local and seasonal ingredients for our tapas, pizzas and hearty
comfort food. Enjoy our menu in our sunny beer garden or around one of our wood
fires.</p><p>You can
taste our freshest beer straight from our tasting bar seven days a week, plus on
Saturday and Sunday's we host some of the Barossa’s best local musicians live in
our brewery beer garden,</p><p>Beers
brewed with integrity and a brewery run with a desire to do good, can do much
more than quench a thirst. In my past corporate job, efforts to integrate
community responsibility were often stymied as ideas went up the command chain.
Now nothing stops me indulging a desire to link our brewery’s success to
worthwhile causes and great people. These efforts do not meet the definition of
“Charity”, as we often benefit greatly from these relationships. I hope to
involve our friends and fans in helping us drink well and do good. So grab a
beer, have a read and get involved.</p>","Barossa Valley Brewing was born because it had to be. A place for everyone to settle in for a refreshing ale and some great stories! Using only the best local ingredient for their tapas, pizzas and hearty comfort foods, you'll love every corner of Barossa Valley Brewing!",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c4abbca45bd75f7c11efd1_Screen%20Shot%202017-03-12%20at%2012.40.40%20pm.png,2A Murray Street,"Tanunda, Adelaide 5352",South Australia,adelaide,http://bvbeer.com.au/,-34.529860,138.949054,info@bvbeer.com.au,info@bvbeer.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c4ae5ac2dc5b4d6cff08ee_TimbarraFarm_17.jpg
Beach Bum - Hawaiian Kiosk,beach-bum-hawaiian-kiosk,57d54200d7efa08538bb14a6,58c3a660a45bd75f7c11eb3c,Sat Mar 11 2017 07:25:20 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:49 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<p>Hawaiian Restaurant in North Adelaide offering a great selection of food, cocktails and shared plates. </p>","Hawaiian Restaurant in North Adelaide offering a great selection of food, cocktails and shared plates.",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c3a59ec2dc5b4d6cff03ef_Screen%20Shot%202017-03-11%20at%206.19.24%20pm.png,47 O'Connell Street,North Adelaide 5006,South Australia,adelaide,http://www.beachbum.net.au/,-34.907830,138.596180,aloha@beachbum.net.au,,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c3a5e2f0d0c79e7c7ad071_Screen%20Shot%202017-03-11%20at%206.20.57%20pm.png
Bells at Killcare,bells-at-killcare,57d54200d7efa08538bb14a6,58c9e2a9f503cec962100c47,Thu Mar 16 2017 00:56:09 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:47 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<h4>Join the team</h4><p>We are always looking for enthusiastic and experienced staff
to join our team. If you are interested in being a part of our 5-star hotel,
please email us detailing which department you are experienced in. </p><h4>About Bells</h4><p>In 2006, Coast and Country Properties, purchased the Bells
property from then owner, Ian Bell. Ian was inspired by Cape Lodge in Margaret
River and Yarra Valley’s Chateau Yering Station, when he owned and operated the
small bed &amp; breakfast.</p><p>The manor house and 3 cottages sat amongst the stunning
acreage of young gardens &amp; presented a wonderful opportunity for further
development that would enhance the existing property. Karina and Brian Barry,
were then invited by Coast and Country Properties to manage the existing
B&amp;B and assess its potential.</p><p>Inspired by the beauty and potential of Bells, they had a
vision to develop the B&amp;B into a luxury world-class retreat. To achieve
this goal, they leased the property and worked with Coast and Country to
renovate and develop the property, in a way that would be sympathetic to the
natural beauty of the area and to complement the existing cottages. In 2008,
Stefano Manfredi and Julie Manfredi-Hughes were invited to come on board to
assist with a new restaurant vision and redesign of the entire dining
experience at the property.</p><p>The retreat has become one of the most recognisable and
distinctive boutique hotels in Australia, with a fabulous reputation both in
the industry and with guests.</p>","Bells at Killcare has become one of the most recognisable and distinctive hotels in Australia, with a fabulous reputation both in the inudstry and with guests. We're always on the lookout for enthusiastic and experienced staff. ",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9e1b4f503cec962100c39_Screen%20Shot%202017-03-16%20at%2011.51.11%20am.png,"107 The Scenic Road, ","Killcare Heights, 2257",New South Wales ,new-south-wales-north-coast,http://www.bellsatkillcare.com.au/,-33.520570,151.374657,reservations@bellsatkillcare.com.au,reservations@bellsatkillcare.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c9e27bf503cec962100c44_Screen%20Shot%202017-03-16%20at%2011.51.41%20am.png
Bells Functions,bells-functions,57d54200d7efa08538bb14a6,58c23fd114ce9e4f1b8bd40f,Fri Mar 10 2017 05:55:29 GMT+0000 (Coordinated Universal Time),Sat Apr 08 2017 00:54:46 GMT+0000 (Coordinated Universal Time),Mon Apr 10 2017 06:31:47 GMT+0000 (Coordinated Universal Time),"<p>Our Story</p><p>Bells Functions is situated on the upper deck of pier 3 Barrack
Street Jetty and operates as an exclusive events space catering to weddings,
birthday parties, engagement celebrations, private receptions and dinners.</p><p>Barrack Square was established in 1905-07 as part of a
systematic program of reclamation to provide a fringe of parkland round the
Swan River. The square is situated at the meeting point of Barrack Street and
Riverside Drive. Four jetties were constructed from 1905-07, in 1973-78, these
were rebuilt and a fifth jetty added. Buildings for the purpose of offices,
ticketing and dining are sited on what is now know as the Barrack Street Jetty.</p>","Bells Functions is situated on the upper deck of pier 3 Barrack Street Jetty and operates as an exclusive events space catering to weddings, birthday parties, engagement celebrations, private receptions and dinners.",https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c23fc2a23de6e45687b55f_Screen%20Shot%202017-03-10%20at%204.54.56%20pm.png,"Upper Level, Pier 3 Barrack Street Jetty",Perth WA 6000.,Western Australia,perth-and-surrounds,http://www.bellsfunctions.com.au/,-31.959854,115.858123,admin@bellsfunctions.com.au,admin@bellsfunctions.com.au,https://daks2k3a4ib2z.cloudfront.net/57d54175dfef76b4387d90d2/58c23f75c4740fc45610b05b_Screen%20Shot%202017-03-10%20at%204.53.35%20pm.png
