State|Region|Banner|Description|Link
ACT|Canberra|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643701/wwia/region%20banners/canberra_and_surrounds_oced83.jpg|The Australian Capital Territory is located between Sydney and Melbourne, and homes Australia's capital city, Canberra. Built in the early 20th century, Canberra has rapidly evolved into one of Australia's premiere dining and adventure destinations. Surrounded by remarkable nature reserves and forests, you'll find yourself falling for Canberra faster than you thought possible!|https://visitcanberra.com.au/
NSW|The Murray|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643771/wwia/region%20banners/the_murray_ffm5r7.jpg|The mighty Murray is a river that divides Victoria and New South Wales, and continues into South Australia before finding it's way into the Indian Ocean. The Murray serves as the backdrop to countless music festivals, bars and restaurants. If city living isn’t your cup of tea, then the Murray Darling region is for you. With hundreds of restaurants dotted throughout the region, you’ll find yourself in a place|
NSW|Sydney|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643757/wwia/region%20banners/sydney_teebdw.jpg|Australia's largest capital city, Sydney is a whirlwind of culture, art, food, wine, adventure and fun. With a world-renowned restaurant scene and game-changing culinary exploration, you'll find exactly what you're looking for in Sydney!|
NSW|South Coast|||
NSW|Snowy Mountains|||
NSW|Riverina|||
NSW|Outback NSW|||
NSW|North Coast NSW|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643756/wwia/region%20banners/nsw_north_coast_zzmcg2.jpg||
NSW|New England North West|||
NSW|Hunter|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643736/wwia/region%20banners/hunter_valley_xb7ghq.jpg||
NSW|Central NSW|||
NSW|Central Coast|||
NSW|Capital Country|||
NSW|Blue Mountains|||
VIC|Wimmera|||
VIC|Western Grampians|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643782/wwia/region%20banners/the_grampians_ojkaom.jpg||
VIC|Western|||
VIC|Yarra Valley|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643775/wwia/region%20banners/yarra_valley_hhk1ob.jpg||
VIC|Spa Country|||
VIC|Phillip Island|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643754/wwia/region%20banners/phillip_island_ueej6j.jpg||
VIC|Mornington Peninsula|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643744/wwia/region%20banners/mornington_peninsula_fs6bag.jpg||
VIC|Murray East|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643771/wwia/region%20banners/the_murray_ffm5r7.jpg||
VIC|Melbourne East|||
VIC|Melbourne|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643722/wwia/region%20banners/greater_melbourne_jmn16p.jpg||
VIC|Mallee|||
VIC|Macedon Ranges|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643716/wwia/region%20banners/daylesford_macedon_llzfkj.jpg||
VIC|Lakes|||
VIC|High Country|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643768/wwia/region%20banners/the_high_country_udwzpb.jpg||
VIC|Goulburn|||
VIC|Gippsland|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643715/wwia/region%20banners/gippsland_ohbigm.jpg||
VIC|Geelong|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643734/wwia/region%20banners/great_ocean_road_metp89.jpg||
VIC|Central Murray|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643771/wwia/the_murray_ffm5r7.jpg||
VIC|Central Highlands|||
VIC|Bendigo Loddon|||
VIC|Ballarat|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643754/wwia/region%20banners/goldfields_ne0hru.jpg||
TAS|Wilderness West|||
TAS|North West|||
TAS|Launceston Tamar and the North|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643749/wwia/region%20banners/launceston_and_the_north_idbg7e.jpg||
TAS|Hobart and the South|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643741/wwia/region%20banners/hobart_and_the_south_kqlwgg.jpg||
TAS|East Coast|||
SA|Yorke Peninsula|||
SA|Riverland|||
SA|Murraylands|||
SA|Limestone Coast|||
SA|Kangaroo Island|||
