region_name|name|address|suburb|postcode|link|email|phone|banner
Yorke Peninsula|Café Capella's|53 George St|Moonta|5558|https://www.cafecapellasmoonta.com|cafecapellas@gmail.com|08 88251081|
Yorke Peninsula|The Bellagio|41 Taylor St|Kadina|5554|https://thebellagio.com.au|thebellagiokadina@hotmail.com|(08) 8821 2267|
Yorke Peninsula|Inland Sea |12918 Yorke Hwy |Warooka|5577|http://www.inlandsea.com.au|admin@inlandsea.com.au|(08) 8854 5499|
Yorke Peninsula|Marion Bay Tavern|5 Stenhouse Bay Rd|Marion Bay|5575 |https://www.marionbaytavern.com.au/index.php|harkinhotelsptyltd@bigpond.com| (08) 8854 4141|
Yorke Peninsula|Moonta Hotel|1 George St|Moonta|5558|https://www.moontahotel.com|info@moontahotel.com|(08) 8825 2209|
Yorke Peninsula|Port Vincent Kiosk|20 Marine Pde|Port Vincent|5581|https://portvincentkiosk.com| portvincentkiosk@gmail.com|(08) 8853 7246|
Yorke Peninsula|Taste the York|56B George St|Moonta|5558|https://www.tastetheyorke.com.au|info@tastetheyorke.com.au|(08) 8825 3121|
Yorke Peninsula|Coopers Alehouse |11 Heritage Dr|Wallaroo|5556|https://www.coopersalehouse.com.au|great.times@coopersalehouse.com.au|(08) 8823 2488|
Yorke Peninsula|Yorke Valley Hotel|20 Robert St|Maitland|5573|https://www.yorkevalleyhotel.com.au|yorkevalleyhotel@outlook.com|(08) 8832 2422|
Yorke Peninsula|Edithburgh Hotel|16 Edith Street|Edithburgh|5583|https://edithburgh-hotel.business.site|edithburghhotel@gmail.com|(08) 8852 6484|
Yorke Peninsula|Minlaton Chocolaterie|38 Main St|Minlaton|5575|https://www.minlatonchocolaterie.com|info@minlatonchocolaterie.com|(08) 8853 2935|
Yorke Peninsula|The Seagate Bistro|Moonta Bay Rd|Moonta|5558|152 Eighteenth Street|info@seagatemoontabay.com.au|(08) 8825 3270|
Riverland|Arrosto Café|152 Eighteenth Street|Renmark|5341|https://www.arrostocoffee.com.au|sales@arrostocoffee.com.au|0418 850 157|
Riverland|Blanchtown Hotel|32-34 Egerton Street|Blanchetown|5357|https://www.blanchetownhotel.com.au|blanchetownhotel1@gmail.com|(08) 8540 5017|
Riverland|Caudo Vineyards|Section 237, In Hundred of Cadell|Cadell|5321|https://www.caudovineyard.com.au|nashly@caudo.com.au|0418 715 661|
Riverland|Mallee Estate Wines|20055 Renmark Avenue|Renmark South|5341|https://www.malleeestate.com.au|admin@malleeestate.com.au|(08) 8595 1088|
Riverland|Overland Corner Hotel|205 Old Coach Road|Overland Corner|5330|http://www.overlandcornerhotel.com.au/index.html|info@overlandcornerhotel.com.au|(08) 8588 7021|
Riverland|Patty's Kitchen|1000 Caddy Rd Barmera|Barmera|5345|https://www.loveday4x4adventures.com|mattybecker@outlook.com|0476 539 283|
Riverland|Renmark Club|160 Murray Avenue|Renmark|5341|https://www.renmarkclub.com.au|enquiry@renmarkclub.com.au|(08) 8586 6611|
Riverland|Riverland Wine Centre|8 Pike Creek Rd|Lyrup|5343|https://riverlandwinecentre.com.au|caire@pikeriver.com.au|0428 831 045|
Riverland|Salena Estate Wines|837 Bookpurnong Road|Loxton|5333|https://www.salenaestate.com.au/index.html|reception@salenaestate.com.au|(08) 8584 1333|
Riverland|Twenty Third Street Disillery|Corner of 23rd Street and Renmark Avenue|Renmark|5341|https://www.23rdstreetdistillery.com.au|visitor.centre@23rdstreetdistillery.com.au|(08) 8586 8500|
Riverland|Mallee Fowl |19042 Sturt Highway|Monash|5342|https://malleefowlrestaurant.com|malleefowlrestaurant4@gmail.com|0439 340 664 |
Riverland|Ashley's Restaurant|210 Renmark Ave|Renmark|5341|http://citrusvalleymotel.com.au/ashleys-restaurant|info@citrusvalleymotel.com.au|(08) 8586 6717|
Riverland|Berri Hotel|34 Riverview Drive, Berri SA|Berri|5343|https://www.berrihotel.com.au| info@berrihotel.com.au|(08) 8582 1411|
Riverland|Renmark Country Club|19878 Sturt Hwy, Renmark SA|Renmark|5341|https://www.renmarkcountryclub.com.au| info@renmarkcountryclub.com.au|(08) 8586 8265|
Riverland|Loxton Hotel |45 East Terrace|Loxton|5333|https://loxtonhotel.com.au|loxtonhotel@loxtonhotel.com.au|(08) 8584 7266|
Murraylands|Riverscape | 2 Murray Cods Dr|Murray bridge|5253|https://www.riverscape.com.au|bookings@riverscape.com.au|(08) 8531 0855 |
Murraylands|Wellington Courthouse| 678 Mason St|Wellington|5259|http://www.wellingtoncourthouse.com.au|info@wellingtoncourthouse.com.au|(08) 85727119 |
Murraylands|Café Manum| 76 Cliff St|Mannum|5238|https://www.mannummotel.com.au/cafe-mannum|reception@mannummotel.com.au|(08) 8569 1808|
Murraylands|Swan Reach Hotel|Hasse Hill Rd|Swan Reach|5354|http://swanreachhotel.com.au|swanreachhotel@bigpond.com| (08) 8570 2003|
Murraylands|Coonaplyn Hotel|45 Poyntz Terrace|Coonalpyn|5265|https://www.coonalpynhotel.com.au|coonalpyn.hotel@gmail.com|(08) 8571 1006|
Murraylands|Lavande of Callington|25 Montefiore St|Callington|5254|http://www.lavandeofcallington.com.au/about.html|chrissyoflavande@hotmail.com|(O8) 8538 5138|
Limestone Coast|Sorrento's Café|6 Bay Road|Mount Gambier|5290|http://www.sorrentoscafe.com.au|eat@sorrentoscafe.com.au|(08) 8723 0900|
Limestone Coast|The Avenue Inn|17 Fourth Avenue, SA|Naracoorte |5271|https://www.theavenueinn.net|info@theavenueinn.net|1300 283 683|
Limestone Coast|Highlander Restaurant |20 Stewart Terrace, SA|Naracoorte |5271|https://www.william-macintosh.com.au|info@william-macintosh.com.au|(08) 8762 1644|
Limestone Coast|Metro Bakery and Café|13 Commercial Street East, SA|Mount Gambier |5290|http://www.metrobakeryandcafe.com.au|metrobakery@internode.on.net|(08) 8723 3179|
Limestone Coast|Pipers of Penola|58 Riddoch Street|Penola|5277|http://www.pipersofpenola.com.au|pipers@pipersofpenola.com.au|(08) 8737 3999|
Limestone Coast|Presto Eatery|37 Commercial St East|Mount Gambier|5290|http://prestoeatery.com.au/index.html|presto@prestoeatery.com.au|(08) 8723 5030|
Limestone Coast|Sails at Robe|2 Victoria Street|Robe|5267|http://www.sailsatrobe.com.au|sailsatrobe@gmail.com|(08) 87 681 954|
Limestone Coast|Caledonian Inn|1 Victoria St|Robe|5267|https://caledonianinnrobe.com.au|hello@caledonianinnrobe.com.au|(08) 8768 2029|
Limestone Coast|Ottelia |5 Memorial Drive|Coonawarra |5263|https://ottelia.com.au|hello@ottelia.com.au|(08) 8736 3170|
Limestone Coast|Pizza Project|6 Victoria St|Robe|5267|https://vicstpizzaproject.weebly.com|vicstreetpizzaproject@gmail.com|(08) 8768 2081|
